,Beta Range,Alpha,Gamma,Eta,Max Risk,Wealth,No Risk Wealth
0,21.0,0.0,0.01,18.0,1.45,0.0,0.0
1,63.0,0.0,0.001,20.0,0.85,0.0,0.0
2,42.0,0.3,0.01,30.0,0.7,0.0,0.0
3,63.0,0.0,0.005,10.0,0.5,0.0,0.0
4,63.0,0.3,0.0,18.0,1.45,0.0,0.0
5,21.0,0.3,0.001,24.0,0.6,0.0,0.0
6,63.0,0.1,0.005,26.0,1.3,0.0,0.0
7,126.0,0.2,0.0025,23.0,1.1,0.0,0.0
8,63.0,0.3,0.001,25.0,0.85,0.0,0.0
9,42.0,0.1,0.01,24.0,0.75,0.0,0.0
