,Beta Range,Alpha,Gamma,Eta,Max Risk,Wealth,No Risk Wealth
0,126.0,0.1,0.0025,8.0,0.7,0.8286401733800213,0.2073840829039745
1,252.0,0.2,0.01,28.0,1.4,3.326231062981128e-05,4.796489215889624e-06
2,126.0,0.0,0.001,26.0,1.45,0.17846567193425997,0.1591006148692304
3,42.0,0.2,0.001,28.0,0.8,0.5697788797930824,0.21666308843844412
4,21.0,0.3,0.001,26.0,1.35,0.2961440549269352,0.23672323841665774
