,Beta Range,Alpha,Gamma,Eta,Max Risk,Wealth,No Risk Wealth
0,42.0,0.2,0.0025,29.0,0.55,0.659028927350522,0.03416089203784607
1,252.0,0.0,0.005,10.0,0.95,0.06724321160634761,0.0028306214946015856
2,252.0,0.0,0.0025,15.0,0.6,0.5542620363562631,0.0240033419195907
3,42.0,0.1,0.0,18.0,0.55,0.7973304286288948,0.6265562653307496
4,126.0,0.2,0.005,13.0,0.7,0.6867228458083172,0.04659353245650476
