,Beta Range,Alpha,Gamma,Eta,Max Risk,Wealth,No Risk Wealth
0,63.0,3.0,0.0025,24.0,0.7,1.296416854181435,1.1229511615113665
1,21.0,3.0,0.01,8.0,1.0,1.3516633918545071,1.0070417690734468
2,126.0,2.4,0.01,20.0,0.5,1.1235172373507774,0.768503097124101
3,21.0,3.0,0.0025,20.0,0.9,1.0902230974001403,1.0812405289245692
4,126.0,3.0,0.0025,16.0,2.0,1.2664735856473106,1.2664735856473106
