,Beta Range,Alpha,Gamma,Eta,Max Risk,Wealth,No Risk Wealth
0,126.0,1.8,0.0,24.0,0.5,1.3495532308309905,0.5097202141978326
1,126.0,1.8,0.0025,16.0,1.0,1.186398334580591,0.9331688835971788
2,63.0,2.4,0.01,24.0,0.9,0.8625359014587457,0.583440701246647
3,63.0,3.0,0.0,8.0,1.0,1.504297023413377,1.262478321049281
4,21.0,3.6,0.01,12.0,2.0,0.9730939744751435,0.9730939744751435
