,Beta Range,Alpha,Gamma,Eta,Max Risk,Wealth,No Risk Wealth
0,126.0,3.0,0.01,12.0,0.9,1.2534427535308572,0.9730939744751435
1,63.0,1.8,0.01,24.0,0.9,0.682504750067154,0.22315797072436988
2,63.0,3.6,0.01,20.0,1.0,0.8262240796560882,0.9020672366385057
3,21.0,1.8,0.0,12.0,0.7,1.5912345302768374,1.3671691054067652
4,126.0,1.2,0.01,28.0,0.5,0.6802452474845609,0.0373957384957447
