,Beta Range,Alpha,Gamma,Eta,Max Risk,Wealth,No Risk Wealth
0,63.0,3.6,0.0,20.0,0.9,1.2488398734793766,1.3563127070860181
1,126.0,1.8,0.01,12.0,0.5,1.3981905534276606,1.0206917701082856
2,126.0,3.0,0.0025,12.0,0.7,1.6337396665831638,1.2125493965570648
3,63.0,1.2,0.0025,24.0,2.0,0.181807819382727,0.17651152444300178
4,63.0,3.6,0.01,12.0,1.0,1.1585538361642853,0.9730939744751435
