,Beta Range,Alpha,Gamma,Eta,Max Risk,Wealth,No Risk Wealth
0,252.0,0.1,0.0,14.0,1.2,0.7067012362238841,0.6023503880122174
1,63.0,0.1,0.001,22.0,1.45,0.2442260252817986,0.20074527891034644
2,42.0,0.1,0.005,17.0,0.9,0.09042185839755482,0.0036697106574254887
3,63.0,0.2,0.0025,29.0,0.85,0.18687660231725772,0.03416089203784607
4,126.0,0.3,0.0025,31.0,1.05,0.10544564129832684,0.044415766634660424
