,Beta Range,Alpha,Gamma,Eta,Max Risk,Wealth,No Risk Wealth
0,63.0,2.4,0.0025,8.0,0.9,1.4316013305720907,1.193114945645126
1,63.0,3.0,0.0025,20.0,2.0,1.0812405289245692,1.0812405289245692
2,21.0,3.0,0.0025,16.0,1.0,1.5914462769947169,1.2664735856473106
3,63.0,2.4,0.0025,16.0,2.0,1.1983026910905024,1.1983026910905024
4,21.0,3.0,0.0,24.0,1.0,1.8855211065192852,1.2801953186043882
